fips,total_estab,total_emp,total_payann,top_category,mfg_employment,avg_weekly_wage,proximity_score,total_estab_norm,total_emp_norm,mfg_employment_norm,harbor_score,county_name
51003,82.0,3229.0,345781.0,R&D / Technical Services,15970.57142857143,1369.142857142857,1,1.62,0.61,0.91,1.08,Albemarle County
51013,200.0,10483.0,1315348.0,R&D / Technical Services,38121.55555555556,2156.222222222222,1,3.94,1.98,2.17,2.56,Arlington County
51041,40.0,201.0,12869.0,R&D / Technical Services,41884.42857142857,1233.0,1,0.79,0.04,2.39,0.92,Chesterfield County
51059,507.0,52857.0,7464372.0,R&D / Technical Services,175466.57142857142,1700.2857142857142,1,10.0,10.0,10.0,8.65,Fairfax County
51061,16.0,57.0,7556.0,R&D / Technical Services,6517.142857142857,1270.857142857143,1,0.32,0.01,0.37,0.34,Fauquier County
51085,16.0,84.0,5487.0,R&D / Technical Services,16487.428571428572,1105.428571428571,1,0.32,0.02,0.94,0.46,Hanover County
51087,39.0,4888.0,471102.0,R&D / Technical Services,55178.857142857145,1274.428571428571,1,0.77,0.92,3.14,1.32,Henrico County
51095,7.0,23.0,872.0,R&D / Technical Services,8549.142857142857,1157.571428571429,1,0.14,0.0,0.49,0.3,James City County
51099,12.0,114.0,14760.0,R&D / Technical Services,3723.0,1193.428571428571,1,0.24,0.02,0.21,0.28,King George County
51107,107.0,3988.0,501793.0,R&D / Technical Services,52124.0,1706.2857142857142,1,2.11,0.75,2.97,1.71,Loudoun County
51121,80.0,414.0,63443.0,R&D / Technical Services,13491.285714285714,1109.142857142857,1,1.58,0.08,0.77,0.88,Montgomery County
51153,50.0,2203.0,217677.0,R&D / Technical Services,37817.857142857145,1201.0,1,0.99,0.42,2.16,1.05,Prince William County
51177,14.0,108.0,11045.0,R&D / Technical Services,10595.714285714286,1014.0,1,0.28,0.02,0.6,0.37,Spotsylvania County
51179,15.0,428.0,54866.0,R&D / Technical Services,13292.42857142857,1233.428571428571,1,0.3,0.08,0.76,0.43,Stafford County
51199,11.0,37.0,2387.0,R&D / Technical Services,5979.857142857143,963.2857142857144,1,0.22,0.01,0.34,0.3,York County
51510,72.0,4295.0,525424.0,R&D / Technical Services,24084.0,1116.571428571429,1,1.42,0.81,1.37,1.16,Alexandria city
51540,83.0,810.0,104538.0,R&D / Technical Services,11894.857142857143,1144.857142857143,1,1.64,0.15,0.68,0.9,Charlottesville city
51550,6.0,110.0,8906.0,R&D / Technical Services,30639.571428571428,1115.857142857143,1,0.12,0.02,1.75,0.55,Chesapeake city
51590,8.0,120.0,13822.0,R&D / Technical Services,7897.714285714285,994.5714285714286,1,0.16,0.02,0.45,0.3,Danville city
51600,19.0,2520.0,471452.0,R&D / Technical Services,6141.428571428572,1249.0,1,0.37,0.48,0.35,0.49,Fairfax city
51630,12.0,167.0,16848.0,R&D / Technical Services,6694.0,805.8571428571429,1,0.24,0.03,0.38,0.32,Fredericksburg city
51650,74.0,4049.0,380526.0,R&D / Technical Services,11463.777777777776,1246.111111111111,1,1.46,0.77,0.65,1.02,Hampton city
51683,11.0,137.0,17560.0,R&D / Technical Services,7392.857142857143,1578.2857142857142,1,0.22,0.03,0.42,0.32,Manassas city
51700,29.0,1783.0,155350.0,R&D / Technical Services,28423.444444444445,1379.7777777777778,1,0.57,0.34,1.62,0.78,Newport News city
51710,31.0,983.0,50235.0,R&D / Technical Services,31717.666666666668,1447.111111111111,1,0.61,0.19,1.81,0.78,Norfolk city
51760,65.0,2343.0,266351.0,R&D / Technical Services,34655.22222222222,1353.6666666666667,1,1.28,0.44,1.98,1.13,Richmond city
51770,3.0,1.0,54.0,R&D / Technical Services,18012.85714285714,783.4285714285714,3,0.06,0.0,1.03,0.68,Roanoke city
51800,8.0,26.0,2618.0,R&D / Technical Services,10365.857142857143,1188.0,1,0.16,0.0,0.59,0.32,Suffolk city
51810,57.0,813.0,72762.0,R&D / Technical Services,50288.71428571428,1029.142857142857,1,1.12,0.15,2.87,1.16,Virginia Beach city
51999,35.0,1116.0,163653.0,R&D / Technical Services,,,1,0.69,0.21,,,51999
51001,,,,,4063.0,1012.0,1,,,0.23,,Accomack County
51005,,,,,1078.857142857143,878.7142857142857,1,,,0.06,,Alleghany County
51007,,,,,770.2857142857143,863.8571428571429,1,,,0.04,,Amelia County
51009,,,,,2583.1428571428573,928.1428571428572,1,,,0.15,,Amherst County
51011,,,,,1017.1428571428572,789.7142857142857,1,,,0.06,,Appomattox County
51015,,,,,9872.285714285714,1031.857142857143,1,,,0.56,,Augusta County
51017,,,,,582.2857142857143,807.5714285714286,1,,,0.03,,Bath County
51019,,,,,4404.222222222223,726.0,1,,,0.25,,Bedford County
51021,,,,,665.5714285714286,894.4285714285714,3,,,0.04,,Bland County
51023,,,,,3596.5714285714284,1037.571428571429,3,,,0.2,,Botetourt County
51025,,,,,953.7142857142856,898.2857142857143,1,,,0.05,,Brunswick County
51027,,,,,1709.0,1154.571428571429,1,,,0.1,,Buchanan County
51029,,,,,880.0,831.5714285714286,1,,,0.05,,Buckingham County
51031,,,,,6279.285714285715,1178.142857142857,1,,,0.36,,Campbell County
51033,,,,,1614.857142857143,983.7142857142856,1,,,0.09,,Caroline County
51035,,,,,1961.2857142857144,743.1428571428571,3,,,0.11,,Carroll County
51036,,,,,507.1428571428572,944.1428571428572,1,,,0.03,,Charles City County
51037,,,,,1035.428571428571,839.0,1,,,0.06,,Charlotte County
51043,,,,,1219.571428571429,965.2857142857144,1,,,0.07,,Clarke County
51045,,,,,208.14285714285717,611.7142857142857,3,,,0.01,,Craig County
51047,,,,,4958.285714285715,1106.0,1,,,0.28,,Culpeper County
51049,,,,,400.2857142857143,793.5714285714286,1,,,0.02,,Cumberland County
51051,,,,,938.4285714285714,777.1428571428571,1,,,0.05,,Dickenson County
51053,,,,,2722.285714285714,1310.571428571429,1,,,0.16,,Dinwiddie County
51057,,,,,1070.0,866.4285714285714,1,,,0.06,,Essex County
51063,,,,,1103.428571428571,890.0,3,,,0.06,,Floyd County
51065,,,,,1436.857142857143,971.7142857142856,1,,,0.08,,Fluvanna County
51067,,,,,5397.714285714285,842.0,3,,,0.31,,Franklin County
51069,,,,,12108.0,1207.7142857142858,1,,,0.69,,Frederick County
51071,,,,,1737.142857142857,1086.7142857142858,3,,,0.1,,Giles County
51073,,,,,2698.714285714286,888.5714285714286,1,,,0.15,,Gloucester County
51075,,,,,5668.285714285715,1574.571428571429,1,,,0.32,,Goochland County
51077,,,,,964.5714285714286,762.4285714285714,1,,,0.05,,Grayson County
51079,,,,,1074.7142857142858,853.0,1,,,0.06,,Greene County
51081,,,,,1520.857142857143,993.1428571428572,1,,,0.09,,Greensville County
51083,,,,,3864.142857142857,926.1428571428572,1,,,0.22,,Halifax County
51089,,,,,5561.571428571428,892.5714285714286,1,,,0.32,,Henry County
51091,,,,,133.14285714285714,647.5714285714286,1,,,0.01,,Highland County
51093,,,,,3723.714285714286,1005.8571428571428,1,,,0.21,,Isle of Wight County
51097,,,,,315.1428571428572,893.8571428571429,1,,,0.02,,King and Queen County
51101,,,,,1293.142857142857,1187.0,1,,,0.07,,King William County
51103,,,,,1256.0,774.7142857142857,1,,,0.07,,Lancaster County
51105,,,,,1220.857142857143,815.8571428571429,1,,,0.07,,Lee County
51109,,,,,3230.285714285714,1062.142857142857,1,,,0.18,,Louisa County
51111,,,,,719.7142857142857,755.0,1,,,0.04,,Lunenburg County
51113,,,,,953.8571428571428,859.7142857142857,1,,,0.05,,Madison County
51115,,,,,461.57142857142856,731.4285714285714,1,,,0.03,,Mathews County
51117,,,,,3487.5714285714284,868.1428571428571,1,,,0.2,,Mecklenburg County
51119,,,,,879.1428571428571,622.0,1,,,0.05,,Middlesex County
51125,,,,,1280.0,848.1428571428571,1,,,0.07,,Nelson County
51127,,,,,1544.0,827.7142857142857,1,,,0.09,,New Kent County
51131,,,,,1221.142857142857,748.8571428571429,1,,,0.07,,Northampton County
51133,,,,,775.5714285714286,1074.142857142857,1,,,0.04,,Northumberland County
51135,,,,,1610.571428571429,938.0,1,,,0.09,,Nottoway County
51137,,,,,3057.0,959.2857142857144,1,,,0.17,,Orange County
51139,,,,,1657.7142857142858,827.7142857142857,1,,,0.09,,Page County
51141,,,,,1455.0,769.2857142857143,3,,,0.08,,Patrick County
51143,,,,,4177.714285714285,886.2857142857143,1,,,0.24,,Pittsylvania County
51145,,,,,2195.0,979.1428571428572,1,,,0.13,,Powhatan County
51147,,,,,2499.5714285714284,859.2857142857143,1,,,0.14,,Prince Edward County
51149,,,,,4250.428571428572,1256.2857142857142,1,,,0.24,,Prince George County
51155,,,,,5735.571428571428,954.5714285714286,3,,,0.33,,Pulaski County
51157,,,,,471.7142857142857,823.5714285714286,1,,,0.03,,Rappahannock County
51159,,,,,789.1428571428571,871.1428571428571,1,,,0.04,,Richmond County
51161,,,,,11823.142857142857,1084.857142857143,3,,,0.67,,Roanoke County
51163,,,,,1906.571428571429,850.2857142857143,1,,,0.11,,Rockbridge County
51165,,,,,10942.57142857143,1025.428571428571,1,,,0.62,,Rockingham County
51167,,,,,1995.571428571429,891.1428571428571,1,,,0.11,,Russell County
51169,,,,,1624.2857142857142,834.7142857142857,1,,,0.09,,Scott County
51171,,,,,4579.714285714285,913.5714285714286,1,,,0.26,,Shenandoah County
51173,,,,,4266.714285714285,875.4285714285714,3,,,0.24,,Smyth County
51175,,,,,1065.0,933.8571428571428,1,,,0.06,,Southampton County
51181,,,,,546.8571428571429,956.1428571428572,1,,,0.03,,Surry County
51183,,,,,904.1428571428572,992.8571428571428,1,,,0.05,,Sussex County
51185,,,,,4230.714285714285,802.5714285714286,3,,,0.24,,Tazewell County
51187,,,,,4069.428571428572,1091.7142857142858,1,,,0.23,,Warren County
51191,,,,,6199.714285714285,893.7142857142857,1,,,0.35,,Washington County
51193,,,,,1050.7142857142858,815.1428571428571,1,,,0.06,,Westmoreland County
51195,,,,,3270.1428571428573,865.2857142857143,1,,,0.19,,Wise County
51197,,,,,3926.857142857143,922.2857142857144,3,,,0.22,,Wythe County
51520,,,,,3074.285714285714,933.4285714285714,1,,,0.18,,Bristol city
51530,,,,,751.4285714285714,905.4285714285714,1,,,0.04,,Buena Vista city
51570,,,,,2767.714285714286,1047.571428571429,1,,,0.16,,Colonial Heights city
51580,,,,,1048.0,686.5714285714286,1,,,0.06,,Covington city
51595,,,,,1110.571428571429,856.4285714285714,1,,,0.06,,Emporia city
51610,,,,,3264.8571428571427,1680.142857142857,1,,,0.19,,Falls Church city
51620,,,,,1129.0,793.5714285714286,1,,,0.06,,Franklin city
51640,,,,,1945.7142857142856,781.4285714285714,1,,,0.11,,Galax city
51660,,,,,10177.42857142857,999.2857142857144,1,,,0.58,,Harrisonburg city
51670,,,,,2640.1428571428573,1375.0,1,,,0.15,,Hopewell city
51678,,,,,1417.0,853.4285714285714,1,,,0.08,,Lexington city
51680,,,,,15700.57142857143,1076.0,1,,,0.89,,Lynchburg city
51685,,,,,1299.428571428571,1131.428571428571,1,,,0.07,,Manassas Park city
51690,,,,,2852.0,867.8571428571429,1,,,0.16,,Martinsville city
51720,,,,,921.1428571428572,838.1428571428571,1,,,0.05,,Norton city
51730,,,,,3755.142857142857,1049.857142857143,1,,,0.21,,Petersburg city
51735,,,,,501.8571428571428,540.5714285714286,1,,,0.03,,Poquoson city
51740,,,,,11686.222222222224,917.5555555555557,1,,,0.67,,Portsmouth city
51750,,,,,1974.142857142857,1094.142857142857,1,,,0.11,,Radford city
51775,,,,,6004.142857142857,1182.142857142857,3,,,0.34,,Salem city
51790,,,,,3261.428571428572,986.5714285714286,1,,,0.19,,Staunton city
51820,,,,,2920.285714285714,950.4285714285714,1,,,0.17,,Waynesboro city
51830,,,,,2999.0,767.0,1,,,0.17,,Williamsburg city
51840,,,,,7350.571428571428,1188.7142857142858,1,,,0.42,,Winchester city
